Team_Name,Record,Home,Offensive_Efficiency,Defensive_Efficiency,Turn_over
Lakers,49-14,W,112.6,105.5,14.9
Warriors,15-50,W,104.4,113,14.6
Celtics,43-21,E,112.3,106.2,13.6
Raptors,46-18,E,111.3,104.9,14.2
Heat,41-24,E,112.2,109.2,14.9
Bulls,22-43,E,105.8,108.9,15.3
Rockets,40-24,W,113.4,109.9,14.1
Knicks,21-45,E,105.9,112.4,14.3
Spurs,27-36,W,113.3,112.8,12.1
Bucks,53-12,E,112.3,101.6,14.1
Cavaliers,19-46,E,106.9,114.8,16.5
76ers,39-26,E,109.7,107.6,14.2
Mavericks,40-27,W,115.8,110,12.7
Clippers,44-20,W,112.9,106.6,14.4
Thunder,40-24,W,111,108.4,13.5
Jazz,41-23,W,112.1,108.8,15
Nets,30-34,E,107.8,108.3,15.1
Pelicans,28-36,W,110.6,111.6,15.4
Pistons,20-46,E,108.8,112.3,15.5
Blazers,20-37,W,112,113.6,12.8
Nuggets,43-22,W,112,108.9,13.9
Suns,26-39,W,110.2,111.3,14.8
Hornets,23-42,E,105.9,112.8,15
Hawks,20-47,E,107,114.4,15.5
Timberwolves,19-45,W,107.6,111.6,14.6
Kings,28-36,W,109,110.8,14.4
Grizzlies,32-33,W,108.9,109.9,14.8
Wizards,24-40,E,111.1,115,13.5
Pacers,39-26,E,109.7,107.7,13.2
Magic,30-35,E,107.5,108.7,12.7

